source,name,username,profile_url,phone,whatsapp_url,trade,area,followers,bio,generated_site_url
batch1-site-live,KADUNA HENNAH ARTIST &STICKERS,hennah_by_fauzy,https://www.instagram.com/hennah_by_fauzy/,+2348139990293,https://wa.me/2348139990293,Artist,,370,✨Beautiful henna designs🔥 | ✨High quality henna powder $ henna stencils at very affordable prices  | ✨ we deliver Nation wide | Call/watsapp #08139990293,https://uae-preview-sites-batch1.vercel.app/hennah-by-fauzy
batch1-site-live,Asja PT DXB,asja_pt_dxb,https://www.instagram.com/asja_pt_dxb/,,,Athlete,,2199,"📍Dubai, UAE | 🔸️Fitness coach | 🔸️Mat and Reformer pilates inst | 🔸️IFBB Wellness amature | 🥇Dubai Muscle Show winner | 🥈x2 AbuDhabi and Binous classic winner",https://uae-preview-sites-batch1.vercel.app/asja-pt-dxb
batch1-site-live,Aeo Sweet3ts,aeosweet3ts,https://www.instagram.com/aeosweet3ts/,,,None,,62,"Little treats, big happiness 🤎 | 🍪 Handmade shortbread • bars • cookies | ✨ Freshly baked • Made with love | 📍 Dubai | DM for orders",https://uae-preview-sites-batch1.vercel.app/aeo-sweet3ts
batch1-site-live,PHOTOGRAPHER DUBAI 📸 Фотограф Дубай,valery.litvinova,https://www.instagram.com/valery.litvinova/,,,Photographer,,1243,"📍Dubai | • Weddings, portraits, events | Elegant simplicity with pure emotions  | Portfolio ⤵️",https://uae-preview-sites-batch1.vercel.app/valery-litvinova
batch1-site-live,Asad Technical Services UAE,uaehometech,https://www.instagram.com/uaehometech/,,,Product/service,,3,,https://uae-preview-sites-batch1.vercel.app/uaehometech
batch1-site-live,Mafaza Motorcycle Repairing & Deals,mafazamotorcyclerepairingdeals,https://www.instagram.com/mafazamotorcyclerepairingdeals/,,,,,,,https://uae-preview-sites-batch1.vercel.app/mafazamotorcyclerepairingdeals
batch1-site-live,Vanessa Bayma,chef_bayma,https://www.instagram.com/chef_bayma/,,,Chef,,14453,CBC Consultancy and Events FZE | 🌐Visit our website & meet our collaborators to learn how we can serve you! | 📧info@chefbayma.com for product promotions,https://uae-preview-sites-batch1.vercel.app/chef-bayma
batch1-site-live,Home Baker | Dubai | Sharjah,alifurbancuisine,https://www.instagram.com/alifurbancuisine/,,,,,64,"Flavor obsessed homebaker 👩‍🍳 | 🍪 Cookies  | 🧁 Cupcakes | 🍰 Cakes | 🎁 Sweet & Savoury treats | 🌱 Vegan, Sugarfree, Eggless too | ⏰ Adv. order ONLY | 🚗 Free Delivery",https://uae-preview-sites-batch1.vercel.app/alifurbancuisine
batch1-site-live,La Barra DXB | Peruvian Tapas,labarra_dxb,https://www.instagram.com/labarra_dxb/,,,None,,7702,🇵🇪 Peruvian food made for everybody | 👨🏻‍🍳 by Peruvian chef @robertosegura_official  | 📍@depachika.ae | Palm Jumeirah Mall,https://uae-preview-sites-batch1.vercel.app/labarra-dxb
batch1-site-live,Macts home appliance Repairing,appliance.repair.ae,https://www.instagram.com/appliance.repair.ae/,+971582564039,https://wa.me/971582564039,Appliance Repair Service,,743,"We specialise in Home Appliance Repair & fixing , we repair refrigerators, washing machine, airconditoners,  | coking ranges dishwashers,  | 058 2564039",https://uae-preview-sites-batch1.vercel.app/appliance-repair-ae
batch1-site-live,RM Coach | Personal Trainer,rmcoach_,https://www.instagram.com/rmcoach_/,,,,,206,"‎  | 🇦🇪 | Fitness Management for Executives and  Professionals across the UAE. | ‎  | ⚽️ | FA Licensed Private Football Coach.  | ‎  | 📍 | JVT, Dubai.",https://uae-preview-sites-batch1.vercel.app/rmcoach
batch1-site-live,Edge and Curve Furniture Upholstery LLC,edgeandcurve,https://www.instagram.com/edgeandcurve/,,,Furniture,,2291,"Sofa Upholstery, Furniture Upholstery Dubai | Sofa and Outdoor Upholstery Custom Outdoor Covers & Cushions • Umbrellas • Shade Sails | 📍 Al Quoz, Dubai",https://uae-preview-sites-batch1.vercel.app/edgeandcurve
batch1-site-live,Your Small Biz Bestie,scoopmyart,https://www.instagram.com/scoopmyart/,,,Entrepreneur,,21281,Helping Small businesses to grow | 5000+ owners trust us | 👩🏻‍💻Website Development | 💡 Consultation | Learn about our services ⬇️,https://uae-preview-sites-batch1.vercel.app/scoopmyart
batch1-site-live,Breadwinner.ae kitchen,breadwinner.ae,https://www.instagram.com/breadwinner.ae/,+971562610046,https://wa.me/971562610046,None,,2302,"A bakery concept by @chefnouel and @chefjayps.  | Delivery/ pickup from Tuesday-Sunday, 8am-8pm | Whatsapp - (+971) 56 261 0046",https://uae-preview-sites-batch1.vercel.app/breadwinner-ae-kitchen
batch1-site-live,Luxe Lash Home Service,luxe_lash_homeservice,https://www.instagram.com/luxe_lash_homeservice/,,,None,,793,Luxe Lash Home Service 🏡 | ▪️Premium Eyelash Extensions  | ▪️Eyelash Eyebrows Lamination  | ▪️Sugaring  | Safe • Professional • Beautiful ✨ | 📍Dubai,https://uae-preview-sites-batch1.vercel.app/luxe-lash-home-service
batch1-site-live,"BACKDROPS, BALLOONS, FLOWERS, EVENT PLANNING 🤍",flowerwalldubai,https://www.instagram.com/flowerwalldubai/,+971528818758,https://wa.me/971528818758,Event Planner,,12226,0528818758 WHATSAPP FOR ENQUIRES | Email: info@victorialaurenevents.com #flowerwall #dubai,https://uae-preview-sites-batch1.vercel.app/flowerwalldubai
batch1-site-live,Henna Stories Asiya,hennastories_asiya,https://www.instagram.com/hennastories_asiya/,+971529084158,https://wa.me/971529084158,Artist,,14667,Since 2005♥️ | 📍Dubai | Shj | Ajman l Abudhabi | Home service🏡 | Call/whatsappp-0529084158 | Events | Bridal | Party | For bookings & Enquiries Dm,https://uae-preview-sites-batch1.vercel.app/henna-stories-asiya
batch1-site-live,Amazing Mobiles-Laptops Sales & Service,amazing_mobiles_,https://www.instagram.com/amazing_mobiles_/,,,,,,,https://uae-preview-sites-batch1.vercel.app/amazing-mobiles
batch1-site-live,Henna by Shifa Rahman,henna_by_shifa_rahman,https://www.instagram.com/henna_by_shifa_rahman/,+971505073971,https://wa.me/971505073971,Artist,,6834,LICENSED PRO_HENNA ARTIST🇦🇪🇮🇳 | BRIDAL | ARABIC | EVENT | PARTY HENNA | 8+ YRS EXPERIENCE | HOME SERVICE AVAILABLE | 📍ALL OVER UAE  | 📞📲 0505073971,https://uae-preview-sites-batch1.vercel.app/henna-by-shifa-rahman
batch1-site-live,Luxdess Cakes,luxdess,https://www.instagram.com/luxdess/,,,None,,20419,🍰 | 𝗕𝗘𝗦𝗧 𝗢𝗡𝗟𝗜𝗡𝗘 𝗦𝗛𝗢𝗣 𝗙𝗢𝗥 𝗖𝗔𝗞𝗘𝗦 𝗜𝗡 𝗨𝗔𝗘 | 🎂 | 𝗪𝗘 𝗗𝗢 𝗖𝗨𝗦𝗧𝗢𝗠𝗜𝗭𝗘 𝗖𝗔𝗞𝗘𝗦 | ☎️ | 𝗠𝗔𝗞𝗘 𝗬𝗢𝗨𝗥 𝗢𝗥𝗗𝗘𝗥 𝗜𝗡 𝗪𝗛𝗔𝗧𝗦𝗔𝗣𝗣 | 🚚 | 𝗪𝗘 𝗛𝗔𝗩𝗘 𝗗𝗘𝗟𝗜𝗩𝗘𝗥𝗬 𝗧𝗢 𝗔𝗟𝗟 𝗨𝗔𝗘,https://uae-preview-sites-batch1.vercel.app/luxdess-cakes
batch1-site-live,Sugar Bunch Cakes,sugarbunchcakes,https://www.instagram.com/sugarbunchcakes/,+971566688785,https://wa.me/971566688785,Product/service,,2242,One-Stop Cake Shop for all party planning needs  at reasonable price.  | •Weddings • Birthdays •Special Events  | DM or Whatsapp 0566688785 for inquiries.,https://uae-preview-sites-batch1.vercel.app/sugar-bunch-cakes
batch1-site-live,Just Click Pics,justclickpics_dubai,https://www.instagram.com/justclickpics_dubai/,,,Entrepreneur,,10,📸 Door-to-door photography in Dubai | Passport • Visa • LinkedIn • Family Portraits | Instant prints & studio-quality results,https://uae-preview-sites-batch1.vercel.app/justclickpics-dubai
batch1-site-live,Mobile Workshop UAE,mobile.workshop,https://www.instagram.com/mobile.workshop/,+971551602313,https://wa.me/971551602313,Automotive Repair Shop,,11552,نقدم افضل الخدمات 💼 | تبديل بطارية🔋دينمو 🔩سلف⚙️ | طرمبة الماء💦 البنزين⛽️ | تعليق القير 🛠 ريكفري نقل سيارات🚍 | 📞 +971551602313 | دبي - الشارقة - ابوظبي - العين📍,https://uae-preview-sites-batch1.vercel.app/mobile-workshop-uae
batch1-site-live,DUBAI TOP MAKEUP ARTIST🇦🇪🇳🇬Cynthia Ofoleta,amyposhstudio,https://www.instagram.com/amyposhstudio/,,,Artist,,132896,▪️Luxury Makeup Artist | Dubai🇦🇪 | ▪️Bridal •Events•Photoshoots | ▪️Professional Makeup Training | 📍Dubai | Home.Hotel • Studio | 👇🏽 Book your glam / Training,https://uae-preview-sites-batch1.vercel.app/amyposhstudio
batch1-site-live,ShootEmpire | Photography in Dubai,shoot.empire,https://www.instagram.com/shoot.empire/,,,Photography Videography,,65,"ShootEmpire connects you to #photographers in #Dubai | Explore locations, check portfolios, book less than 30 minutes. | Direct us to book your session🔖",https://uae-preview-sites-batch1.vercel.app/shoot-empire
batch1-site-live,Fahad Dawood,arabiccoffeeservice,https://www.instagram.com/arabiccoffeeservice/,+971502475775,https://wa.me/971502475775,None,,3615,نقدم لكم أرقى خدمات الضيافة                 مرخص من دائرة التنمية الإقتصادية 0502475775 ☎️ |  📱0555222937,https://uae-preview-sites-batch1.vercel.app/arabiccoffeeservice
batch1-site-live,Steam Vision,steamvision,https://www.instagram.com/steamvision/,,,Product/service,,606,Steam Vision | We Clean What Your Family Lives On 🏡 | 🛋️ Sofas • Carpets • Mattresses | 🐾 Baby & Pet-Safe Cleaning | 📍 Dubai | 💬 Message Us on WhatsApp,https://uae-preview-sites-batch1.vercel.app/steamvision
batch1-site-live,Sithli Mobile Barber,sithli_mobile_barber,https://www.instagram.com/sithli_mobile_barber/,+94741079919,https://wa.me/94741079919,Artist,,80,Dubai VIP Barber at Your Doorstep 🇦🇪💈 | Luxury Grooming • Beard Artist • Hair Expert | Available Home / Hotel / Office Service | 📞 WhatsApp: +947410799-19,https://uae-preview-sites-batch1.vercel.app/sithli-mobile-barber
batch1-site-live,O M A R  K H A M I  S  🇪🇬,omarkhamis.pt,https://www.instagram.com/omarkhamis.pt/,,,Fitness Trainer,,50767,Premium 1:1 Personal Training | 🏆12+ Years Experience | 💪 Helping Busy Men Build Muscle & Lose Fat | 📍 Downtown Dubai | 📩 DM “COACH” | 💻 Software engineer | 👇🏼🔻,https://uae-preview-sites-batch1.vercel.app/omarkhamis-pt
batch1-site-live,Locksmith UAE (IG smart keys),locksmith_uae,https://www.instagram.com/locksmith_uae/,+971504642283,https://wa.me/971504642283,Locksmith,,933,00971504642283 | Contact WhatsApp 24 hours  | Original used keys buying and saleing  | Open auto cars door lock unlock service  | Home door lock unlock servic,https://uae-preview-sites-batch1.vercel.app/locksmith-uae-ig-smart-keys
batch1-site-live,Henna Gleam,hennagleam,https://www.instagram.com/hennagleam/,,,,,4911,Artist | - Professional Henna Artist 🍂 | -Based in #Dubai🇦🇪  | - bookings  (+971)555994674 | -Bridal/party/events service  | #dubaihennaartist #hennaartistdubai,https://uae-preview-sites-batch1.vercel.app/henna-gleam
batch1-site-live,IslandWaterz - Authentic Caribbean Food - Dubai - Catering,islandwaterz,https://www.instagram.com/islandwaterz/,,,Restaurant,,2972,"📩 DM TO ORDER 📩 | Authentic Caribbean Food in Dubai🤤 | Mealprep 🥗  | Lactose Free Options😁 | Catering👩🏾‍🍳 | Private Chef👩🏾‍🍳   | Location📍Dubai, U.A.E 🇦🇪",https://uae-preview-sites-batch1.vercel.app/islandwaterz
batch1-site-live,Appliances Repair in Dubai,taimoorfarrukh,https://www.instagram.com/taimoorfarrukh/,+971568975148,https://wa.me/971568975148,Appliance Repair Service,,852,Contact Us for Appliances Repair in Dubai 📍AL Bada'a Dubai | 📞: +971568975148 | 🔗:https://appliancesrepairdubai.ae | 📧:appliancesrepairdubai1@gmail.com,https://uae-preview-sites-batch1.vercel.app/taimoorfarrukh
batch1-site-live,🏠 أكل بيت | Home-cooked Food,aklbait,https://www.instagram.com/aklbait/,,,Kitchen/cooking,,7552,📍Dubai | Sharjah | Ajman,https://uae-preview-sites-batch1.vercel.app/aklbait
batch1-site-live,Armita Merchant MUA,armitamerchant,https://www.instagram.com/armitamerchant/,+971558024331,https://wa.me/971558024331,Makeup Artist,,34669,Bridal Maestro 🪄  | Bringing Every Bride’s Vision to Life 💫 | 📍Dubai 🇦🇪| Global 🌎  | WhatsApp for inquiries👇🏼 | +971558024331,https://uae-preview-sites-batch1.vercel.app/armita-merchant-mua
batch1-site-live,"Sofa, carpet , chair deep cleaning fujairah city",fujairahcity_sofa_shampooing,https://www.instagram.com/fujairahcity_sofa_shampooing/,+971501436723,https://wa.me/971501436723,Cleaning Service,,2276,"sofa , carpet, chair deep cleaning fujairah by zafreno sofa cleaning fujairah, Whatsapp: 00971 501436723  | #fujairah #fujairahcity",https://uae-preview-sites-batch1.vercel.app/fujairahcity-sofa-shampooing
batch1-site-live,Foram Makwana Mehndi,foram_mehandi_designer,https://www.instagram.com/foram_mehandi_designer/,+971521980580,https://wa.me/971521980580,Artist,,21394,✨ Professional Mehndi Artist | UAE | 👰 Bridal & Customized Designs | 💼 Luxury Brand Events | Corporate Bookings | 📍 Dubai | 📩 DM / WhatsApp for bookings 👇,https://uae-preview-sites-batch1.vercel.app/foram-makwana-mehndi
batch1-site-live,Amir Mr Decor,mr.decor.ae,https://www.instagram.com/mr.decor.ae/,+971585571599,https://wa.me/971585571599,None,,105,"📌 curtain, carpet, wallpaper, sofa, chair | 📌 Parquet, tent, bed, cabinet, shelf, door | 📌 We do all the design | 📞0585571599",https://uae-preview-sites-batch1.vercel.app/amir-mr-decor
batch1-site-live,Karay Nails,karay.nails,https://www.instagram.com/karay.nails/,,,"Beauty, cosmetic & personal care",,545,🌸7 years experience | 💅🏻 Manicure+gel 130aed  | 🌸7 лет делаю Ноготочки  | 💕Маникюр+гель+дизаин+снятие 130aed | Быстро/Качественно Dubai/Дубай,https://uae-preview-sites-batch1.vercel.app/karay-nails
batch1-site-live,Dubai home service nail technician,nailsbyella_dubai,https://www.instagram.com/nailsbyella_dubai/,+971558443397,https://wa.me/971558443397,Nail Artist,,2633,"ACRYLIC NAILS | GEL NAILS | BIAB |            Home Service  |   📍JVC Appointments | DM or WhatsApp: +971 55 844 3397 | Perfect nails, flawless care every time",https://uae-preview-sites-batch1.vercel.app/nailsbyella-dubai
batch2-no-website,UAE Henna Artist🇦🇪🇮🇳 | HENNA BY SAHDHA,zera.henna,https://www.instagram.com/zera.henna/,+971568589960,https://wa.me/971568589960,Henna artist,UAE / Sharjah-Dubai,22380,📍 Based in Sharjah | UAE  | DM for Bridal/Party Henna Bookings | Home services available ✨ | 📞 056 858 9960 🇦🇪,https://uae-preview-sites-batch1.vercel.app/zera-henna
batch2-no-website,Dubai Henna Artist 🇦🇪 /حناء دبي,reddan_henna.ae,https://www.instagram.com/reddan_henna.ae/,+971522996313,https://wa.me/971522996313,Henna artist,Dubai homes,8643,Reddan[ Licensed Henna Artist UAE] | ♧ Bridal. individual. Events | ♡ Organic henna cones available  | ◇ Home Service  Across 🇦🇪  | Book now,https://uae-preview-sites-batch1.vercel.app/reddan-henna-ae
batch2-no-website,NAILS EXTENSION | EYELASHES | EYEBROWS | MICROBLADING | LIPS,salon_home_dubai,https://www.instagram.com/salon_home_dubai/,,,Mobile nail / lash,Dubai homes,25526,"🚨 👉🏻 ANY SERVICES 199/249 AED | ALL SERVICES AT YOUR HOME 🏡  | Dubai | Sharjah | Ajman  | Russian technical 🔝 | Premium materials, 4-6 hand express ✨",https://uae-preview-sites-batch1.vercel.app/salon-home-dubai
batch2-no-website,Charm Beauty,nailsandlashes.ae,https://www.instagram.com/nailsandlashes.ae/,+971522660153,https://wa.me/971522660153,Mobile lash tech,Dubai homes,8,,https://uae-preview-sites-batch1.vercel.app/nailsandlashes-ae
batch2-no-website,Beauty Bar Home Salon💅🏻,beautybarsalon.ae,https://www.instagram.com/beautybarsalon.ae/,+971589922064,https://wa.me/971589922064,Home nails + massage,Dubai homes,3533,📍Dubai Home Service Salon 💕✨ | 📲 WhatsApp: +971589922064 | 🕐 11:30 am – 10:30 pm,https://uae-preview-sites-batch1.vercel.app/beautybarsalon-ae
batch2-no-website,Home service  Dubai / Sharjah / Ajman,home.salon.dxb,https://www.instagram.com/home.salon.dxb/,,,Mobile nails,Ajman / Sharjah / Dubai,8337,Over 6.000 Happy Costumers 🥰 | Nails • Lashes • Brows ✨ | BROWS MICROSHADING ✨ | LIP BLUSH ✨ | 🇰🇬🇷🇺Certificated technicians from Kyrgyzstan ❣️,https://uae-preview-sites-batch1.vercel.app/home-salon-dxb
batch2-no-website,Taha Banat,scissorhandssignature,https://www.instagram.com/scissorhandssignature/,,,Mobile barber,Dubai homes,1333,PRIVATE EXECUTIVE GROOMING | Dubai•In-Home•By Appointment | Discreet service for VIP & executive clients | 24/7|We come to you | Don’t stress. Never stress.✂️,https://uae-preview-sites-batch1.vercel.app/scissorhandssignature
batch2-no-website,Barly Gents Salon,barleygentssalon,https://www.instagram.com/barleygentssalon/,+971588139367,https://wa.me/971588139367,Gents salon,"Hor Al Anz, Deira",1,"✨ Transforming looks, boosting confidence ✂️ | 💈 Professional stylists in Dubai | 📍 Abdul Majeed Building, Shop No. 02, Deira | 📞 058 813 9367",https://uae-preview-sites-batch1.vercel.app/barleygentssalon
batch2-no-website,Scissor & Style,scissor.style.salon,https://www.instagram.com/scissor.style.salon/,+971551174067,https://wa.me/971551174067,Gents salon,International City CBD-34,744,"A friendly, affordable, and high-quality Barbershop in International City 💈                    For bookings please WhatsApp or Call us on 0551174067 📱",https://uae-preview-sites-batch1.vercel.app/scissor-style-salon
batch2-no-website,keira Collections 🧿,keiracollections2023,https://www.instagram.com/keiracollections2023/,+971529521613,https://wa.me/971529521613,Ladies tailor,"Al Mahatha, Sharjah",1359,"💖Keira Ladies Stitching & Alteration ✨ | 👗 Churidar | Blouse | Abaya | ✂️ All Alterations | 📍 Sharjah, Al Mahattah | 📲 +971 52 952 1613",https://uae-preview-sites-batch1.vercel.app/keiracollections2023
batch2-no-website,Tailoring Work By Zaheer,tailoringworkdubai,https://www.instagram.com/tailoringworkdubai/,+971521920070,https://wa.me/971521920070,Home alterations,Dubai homes,1,,https://uae-preview-sites-batch1.vercel.app/tailoringworkdubai
batch2-no-website,Mufeeda Riyas,smilebakes.uae,https://www.instagram.com/smilebakes.uae/,,,Home baker,Sharjah,294,Smile Bakes contact in messages,https://uae-preview-sites-batch1.vercel.app/smilebakes-uae
batch2-no-website,Homemade desserts UAE,homebakery.uae,https://www.instagram.com/homebakery.uae/,,,Home baker,Dubai,2227,Customized cakes in Dubai  | We will make your celebration tasty🥳😍  | Minimum order 2kg❤️Delivery 🇦🇪,https://uae-preview-sites-batch1.vercel.app/homebakery-uae
batch2-no-website,𝐇𝐎𝐌𝐄𝐒𝐄𝐑𝐕𝐈𝐂𝐄/𝐋𝐀𝐒𝐇𝐄𝐒|𝐄𝐘𝐄𝐁𝐑𝐎𝐖𝐒|𝐍𝐀𝐈𝐋𝐒,viplashes_homeservice_uae,https://www.instagram.com/viplashes_homeservice_uae/,,,Mobile lashes,UAE-wide,16408,⏱️Full set in 60 min | 👭Team of certified lash artists | ⠀ | Available all around UAE 🇦🇪 | ⠀ | ✨Premium home service trusted by 150k+ clients! | Bookings via WA🔗👇,https://uae-preview-sites-batch1.vercel.app/viplashes-homeservice-uae
batch2-no-website,L’elite Home Salon & SPA,lelitespa.ae,https://www.instagram.com/lelitespa.ae/,,,Home salon / spa,Dubai / SHJ / Ajman,28137,"Luxury Home Service Salon & Spa in Dubai, Sharjah and Ajman 🇦🇪 | خدمات منزلية فاخرة للعناية بالجمال والاسترخاء في دبي والشارقة وعجمان. للحجز ⬇︎ Bookings",https://uae-preview-sites-batch1.vercel.app/lelitespa-ae
batch2-no-website,Hair Extensions and colors specialist.Nails & Lashes | 📍Dubai,adorebeauty.mea,https://www.instagram.com/adorebeauty.mea/,+971544706603,https://wa.me/971544706603,Home-service salon,UAE-wide,104511,4 hands services/ Hair extension/Nails/Lashes/PMUz | 📍 Mirdif |🆓 🅿️|12PM–12PM | 📞 04 375 4642 |📱050 448 7245 | 📍 El Meydan/🆓 🅿️  | 📞📲 +971 50 696 6184,https://uae-preview-sites-batch1.vercel.app/adorebeauty-mea
batch2-no-website,"SOAK Salon, Jumeirah 1, Dubai",soaksalon_dxb,https://www.instagram.com/soaksalon_dxb/,,,Nails salon + new home,Dubai,4866,BIAB & The Gel Bottle Specialists | Parking Available | 📍Jumeirah 1 | Book Now ⬇️,https://uae-preview-sites-batch1.vercel.app/soaksalon-dxb
batch2-no-website,The Mobile Barber,themobilebarberdubai,https://www.instagram.com/themobilebarberdubai/,+971525656620,https://wa.me/971525656620,Mobile barber,Dubai homes,9702,Mobile barbering service in Dubai 🇦🇪  | British Barbers 🇬🇧  | 8am - Midnight 🕛  | 7 days a week | To book: +971525656620 📲,https://uae-preview-sites-batch1.vercel.app/themobilebarberdubai
batch2-no-website,Vantage Gents Salon,getvantagecut,https://www.instagram.com/getvantagecut/,,,Gents salon,"Muweilah, Sharjah",115,"""💈 Vantage Gents Salon 💈 | Your grooming destination in Sharjah. Expert cuts, beard trims, and more. Affordable luxury for modern men. #gentssalonshar",https://uae-preview-sites-batch1.vercel.app/getvantagecut
